PRIMARY_KEY,STATE,YEAR,ENROLL,TOTAL_REVENUE,FEDERAL_REVENUE,STATE_REVENUE,LOCAL_REVENUE,TOTAL_EXPENDITURE,INSTRUCTION_EXPENDITURE,SUPPORT_SERVICES_EXPENDITURE,OTHER_EXPENDITURE,CAPITAL_OUTLAY_EXPENDITURE,GRADES_PK_G,GRADES_KG_G,GRADES_4_G,GRADES_8_G,GRADES_12_G,GRADES_1_8_G,GRADES_9_12_G,GRADES_ALL_G,AVG_MATH_4_SCORE,AVG_MATH_8_SCORE,AVG_READING_4_SCORE,AVG_READING_8_SCORE
1992_NEW_MEXICO,NEW_MEXICO,1992,,1330091,161520,990653,177918,1339829,683253,432392,,139206,2072,23723,24447,21690,16027,191623,80105,273800,213.2990899,259.6067177,204.5359107,
1992_NEW_YORK,NEW_YORK,1992,,21630179,1172030,8697663,11760486,22815611,13288972,6132532,,1640971,31290,201674,197698,184815,142822,1585404,727840,2344534,218.4455353,266.4223001,211.7409208,
1992_NORTH_CAROLINA,NORTH_CAROLINA,1992,,5236099,389145,3283378,1563576,5418687,2847638,1422278,,774194,6119,89809,85244,84291,63427,695047,303507,1004673,212.8844899,258.4053748,214.3580855,
1992_NORTH_DAKOTA,NORTH_DAKOTA,1992,,559481,51476,242693,265312,553732,315009,152340,,34904,640,8847,9570,9102,8014,75082,34165,109887,228.6628153,283.2130747,225.2390833,
1992_OHIO,OHIO,1992,,9285961,472604,3631703,5181654,9483822,5172782,2961942,,742377,9900,138911,137839,137075,116085,1126405,511330,1647635,218.7119349,268.1241978,,
1992_OKLAHOMA,OKLAHOMA,1992,,2396705,211627,1470516,714562,2515272,1283577,779828,,194081,4859,45010,48793,44163,33346,387659,157824,550342,220.3198059,268.1319896,,
1992_OREGON,OREGON,1992,,2773959,163544,788309,1822106,2898210,1556770,967075,,230464,771,37519,41443,39610,31920,325128,144002,469901,,,,
1992_PENNSYLVANIA,PENNSYLVANIA,1992,,11257252,658139,4227323,6371790,11539253,6075381,3329224,,964457,4416,129233,131248,126293,108244,1063552,486354,1554322,224.3057316,271.3784388,215.2683415,
1992_RHODE_ISLAND,RHODE_ISLAND,1992,,883073,43545,329810,509718,863404,556787,265279,,14685,498,10883,11129,10204,8244,90758,37931,129187,215.4492482,265.9071091,219.9400977,
1992_SOUTH_CAROLINA,SOUTH_CAROLINA,1992,,2842626,249903,1350148,1242575,2922293,1544232,768292,,261644,7045,44501,51081,49562,34615,415759,173159,595963,212.4967138,260.772544,203.4161903,
1992_SOUTH_DAKOTA,SOUTH_DAKOTA,1992,,551668,60671,147834,343163,593126,320561,169697,,65568,705,10266,10645,10498,8259,85823,36326,122854,,,,
1992_TENNESSEE,TENNESSEE,1992,,3080490,308571,1305381,1466538,3132516,1830264,799825,,232437,9613,64463,65195,63358,49639,530221,233430,773264,210.9482274,258.8280481,212.5313941,
1992_TEXAS,TEXAS,1992,,16264180,1160185,6706959,8397036,16119084,7961379,4613884,,1833239,113197,262483,282693,261053,180206,2258666,907423,3279286,217.9187445,264.5928284,212.394311,
1992_UTAH,UTAH,1992,,1555799,105349,872510,577940,1547980,841552,396073,,155425,2611,32652,35956,36813,28775,288781,130082,421474,224.0422477,274.3431771,217.3303928,
1992_VERMONT,VERMONT,1992,,812377,31757,204163,576457,800377,386699,205777,,25781,1780,7978,8329,7227,5573,64107,24099,89986,,,,
1992_VIRGINIA,VIRGINIA,1992,,5631293,313971,2180133,3137189,5744469,2982862,1758078,,523409,1976,82456,79821,76775,60854,645925,273971,921872,220.7629642,267.8637263,213.4572859,
1992_WASHINGTON,WASHINGTON,1992,,4870832,263053,3467779,1140000,5360834,2587181,1518521,,855759,5075,68562,74098,67285,53986,578106,244732,827913,,,212.6953858,
1992_WEST_VIRGINIA,WEST_VIRGINIA,1992,,1585099,130117,1021803,433179,1587968,835186,465429,,156015,2308,22081,23556,24791,21844,191101,96241,289650,215.2689284,259.0864484,213.1469347,
1992_WISCONSIN,WISCONSIN,1992,,4993909,217723,2205439,2570747,5181471,2914442,1490415,,416449,16227,61568,63365,60783,55543,507607,239952,763786,228.6920011,277.8791346,224.1745453,
1992_WYOMING,WYOMING,1992,,629748,31714,314216,283818,624941,339953,185930,,60815,,7184,8049,8078,6613,64614,28515,,225.3775916,275.0800761,221.1855559,
1993_ALABAMA,ALABAMA,1993,727716,2827391,331409,1729295,766687,2833433,1564558,794146,237222,204207,8264,56598,57497,60004,39900,470775,198651,677690,,,,
1993_ALASKA,ALASKA,1993,121156,1191398,176150,775829,239419,1126398,494917,433788,36291,135791,2787,10329,10156,9160,6975,80485,32347,115619,,,,
1993_ARIZONA,ARIZONA,1993,676297,3427976,318465,1415407,1694104,3623946,1578889,1000914,164083,680139,3164,57656,57701,53500,37614,461398,182737,647299,,,,
1993_ARKANSAS,ARKANSAS,1993,311432,1346909,128196,771079,447634,1376067,782791,386526,68617,97824,1248,34337,34255,36471,27169,280280,125801,407329,,,,
1993_CALIFORNIA,CALIFORNIA,1993,5129788,28043338,2151157,17064146,8828035,28110986,15281147,8914559,1608514,1944760,59954,444104,420233,380223,277271,3328627,1393530,4782111,,,,
1993_COLORADO,COLORADO,1993,539538,3058326,147793,1242337,1668196,3028305,1537714,954032,92163,318959,7249,47598,50807,47665,34770,403871,164260,575380,,,,
1993_CONNECTICUT,CONNECTICUT,1993,471918,4064158,149204,1433539,2481415,4079943,2302852,1190914,143312,186802,6216,42338,39093,34662,27979,310022,127655,443893,,,,
1993_DELAWARE,DELAWARE,1993,104355,683954,44497,443250,196207,694534,394680,207850,26548,47372,565,8153,8285,8265,5882,67899,28930,97394,,,,
1993_DISTRICT_OF_COLUMBIA,DISTRICT_OF_COLUMBIA,1993,80937,721151,73882,0,647269,719440,339266,302281,39819,38074,5216,6986,5870,4935,3303,46917,17854,69987,,,,
1993_FLORIDA,FLORIDA,1993,1980569,11370156,947326,5520893,4901937,11425183,5333136,3557043,852220,1424334,34793,167140,168509,149054,100646,1313261,525569,1873623,,,,
1993_GEORGIA,GEORGIA,1993,893557,4716559,296231,2243580,2176748,4647974,2538712,1323320,260423,439808,5534,103365,99802,97354,62704,801526,324879,1131939,,,,
1993_HAWAII,HAWAII,1993,177448,1062475,76183,962375,23917,1063090,580597,304362,95700,82431,532,15199,14813,13245,10201,115852,48728,165112,,,,
1993_IDAHO,IDAHO,1993,231632,890835,72747,547454,270634,899819,499914,260805,41238,81359,1389,17039,18665,19185,15044,147789,69287,218465,,,,
1993_ILLINOIS,ILLINOIS,1993,1856841,10584624,632724,3467071,6484829,10744695,5520683,3352722,426411,852085,42359,144758,138827,138518,106519,1114636,503024,1660019,,,,
1993_INDIANA,INDIANA,1993,958052,5833420,278090,3005534,2549796,5668599,2862585,1619011,268924,477709,3960,70226,72841,78125,60971,599876,282219,886055,,,,
