State Name,American Indian/Alaska Native Students ,Asian or Asian/Pacific Islander Students ,Black Students ,Hispanic Students ,White Students ,Hawaiian Nat./Pacific Isl. Students ,Two or More Races Students,Year
MINNESOTA,14814,53201,79328,64712,608843,701,23805,2013
MISSISSIPPI,994,4818,244189,13389,225715,161,4384,2013
MISSOURI,4078,17278,152275,47269,676377,1686,18937,2013
MONTANA,16228,1193,1399,5644,115094,336,3014,2013
NEBRASKA,4327,6630,20217,51068,211167,354,9742,2013
NEVADA,4979,25250,43364,178167,163930,5746,24271,2013
NEW HAMPSHIRE,582,5541,3579,7810,167342,132,3988,2013
NEW JERSEY,1769,125130,223070,321443,683857,3163,13771,2013
NEW MEXICO,33867,4047,6626,202620,86359,341,4360,2013
NEW YORK,15243,230687,495291,649568,1280689,5699,33526,2013
NORTH CAROLINA,21219,39929,397779,215472,787559,1382,55125,2013
NORTH DAKOTA,9086,1280,2895,3363,83037,237,1213,2013
NORTHERN MARIANAS,0,4309,0,6,68,6209,54,2013
OHIO,2321,31951,279663,72789,1267331,908,74953,2013
OKLAHOMA,105995,12439,63381,95014,354323,1778,40553,2013
OREGON,9917,22827,14630,129076,378737,3866,28511,2013
PENNSYLVANIA,2752,59431,267224,159737,1232905,1193,40435,2013
PUERTO RICO,311,26,60,433866,325,21,0,2013
RHODE ISLAND,914,4131,11692,31887,89511,243,4103,2013
SOUTH CAROLINA,2268,10170,260336,51859,389179,864,21322,2013
SOUTH DAKOTA,14977,2211,3584,5571,101242,138,2748,2013
TENNESSEE,1890,17024,228812,72204,658568,992,14006,2013
TEXAS,21802,183813,646706,2606839,1522091,6646,89762,2013
U.S. VIRGIN ISLANDS,18,49,11980,2771,231,14,129,2013
UTAH,7337,10581,7983,96048,471509,9245,10576,2013
VERMONT,257,1603,1759,1373,82401,65,2166,2013
VIRGINIA,4044,77992,296985,157746,669428,1830,57394,2013
WASHINGTON,15210,75407,48381,214077,622485,9685,66449,2013
WEST VIRGINIA,336,1974,13741,3621,258780,108,4484,2013
WISCONSIN,11040,31034,85158,88132,637518,683,18871,2013
WYOMING,3042,766,1029,11753,73277,178,1488,2013
