,STATE,YEAR,TOTAL_JAIL_ADM,ASIAN_JAIL_POP,BLACK_JAIL_POP,LATINO_JAIL_POP,NATIVE_JAIL_POP,WHITE_JAIL_POP,ASIAN_PRISON_POP,BLACK_PRISON_POP,LATINO_PRISON_POP,NATIVE_PRISON_POP,OTHER_PRISON_POP,WHITE_PRISON_POP
397,SOUTH_CAROLINA,2003,39381.0,0.0,61.904761904761905,2.3529411764705883,0.2801120448179272,39.6078431372549,0.0,63.25855962219599,0.8500590318772138,0.2597402597402597,0.5430932703659976,35.08854781582054
398,SOUTH_CAROLINA,2004,48464.0,0.09866798223976321,55.74740996546621,1.6773556980759743,0.5920078934385792,39.76319684262457,0.0,58.917666877237316,0.4421983575489577,0.4843124868393346,0.33691303432301534,39.81890924405138
399,SOUTH_CAROLINA,2005,40463.0,0.13227513227513227,53.835978835978835,4.982363315696649,0.5291005291005291,46.2962962962963,0.0,54.97641509433963,1.3443396226415094,0.3537735849056604,0.6839622641509434,42.64150943396226
400,SOUTH_CAROLINA,2006,56944.0,0.04904364884747425,52.32957332025503,5.689063266307013,0.5394801373222168,46.34624816086317,0.0,55.057275164513776,1.4623446258834998,0.6093102607847917,0.5605654399220084,42.31050450889593
401,SOUTH_CAROLINA,2007,45623.0,0.10964912280701754,56.46929824561403,5.37280701754386,0.8223684210526315,48.46491228070175,0.0,57.47899159663865,1.7647058823529411,0.6162464985994398,0.6722689075630253,39.46778711484594
402,SOUTH_CAROLINA,2008,42089.0,0.054171180931744306,61.86348862405201,3.683640303358613,0.7583965330444203,34.66955579631636,0.0,63.77130291368884,1.8966465090709181,0.4398020890599231,0.4123144584936778,33.47993402968664
403,SOUTH_CAROLINA,2009,44581.0,0.1059322033898305,59.16313559322034,5.402542372881356,0.847457627118644,35.38135593220339,0.0,65.020366598778,2.0875763747454172,0.4327902240325866,0.5346232179226069,31.924643584521384
404,SOUTH_CAROLINA,2010,48124.0,0.08718395815170009,54.446381865736704,3.530950305143853,0.6102877070619006,37.61987794245859,0.0,64.1529587694937,2.2003845332193976,0.27771843623157444,0.5127109591967528,32.856227301858574
405,SOUTH_CAROLINA,2011,49319.0,0.07996801279488205,55.937624950019995,2.638944422231108,0.7197121151539384,40.78368652538985,0.0,63.772330702118815,1.7864561695056087,0.24927295388450355,0.519318653926049,33.67262152056502
406,SOUTH_CAROLINA,2012,88551.0,0.07422068283028203,59.82187036120732,4.156358238495795,0.49480455220188024,37.6051459673429,0.06302190011028833,69.11926894595872,1.96943437844651,0.2678430754687254,0.44115330077201825,28.13927839924374
407,SOUTH_CAROLINA,2013,37197.0,0.05243838489774515,48.24331410592554,3.2511798636601994,0.5243838489774515,45.93602517042475,0.0,62.55833104584134,2.195992314026901,0.3568487510293714,0.5489980785067252,34.33982981059566
408,SOUTH_CAROLINA,2014,43860.0,0.09199632014719411,51.28794848206072,3.1738730450781967,0.7359705611775529,45.446182152713895,0.0,59.739353037002566,1.8617640214102862,0.27926460321154295,0.5119851058878288,37.60763323248778
409,SOUTH_CAROLINA,2015,34662.0,0.09847365829640572,51.40324963072378,2.9049729197439684,0.8370260955194485,49.532250123092076,0.0,58.10609816559247,1.7848289538919186,0.2974714923153198,0.5205751115518097,39.53891918691125
410,SOUTH_DAKOTA,2001,7754.0,0.4807692307692308,5.288461538461538,2.8846153846153846,45.67307692307692,45.19230769230769,0.0,1.9780219780219779,0.0,31.428571428571427,0.0,66.59340659340658
411,SOUTH_DAKOTA,2002,11410.0,0.43859649122807015,2.1929824561403506,5.701754385964912,49.56140350877193,43.42105263157895,0.0,2.1739130434782608,0.0,29.96894409937888,0.0,67.85714285714286
412,SOUTH_DAKOTA,2003,14179.0,0.423728813559322,3.8135593220338984,8.47457627118644,23.728813559322035,61.016949152542374,0.0,4.123711340206185,0.0,16.752577319587626,0.12886597938144329,78.99484536082474
413,SOUTH_DAKOTA,2004,26352.0,0.5847953216374269,4.093567251461988,4.678362573099415,40.15594541910331,46.783625730994146,0.0,4.351204351204351,0.3885003885003885,31.157731157731156,0.0,64.1025641025641
414,SOUTH_DAKOTA,2005,15738.0,0.6578947368421052,3.070175438596491,1.9736842105263157,49.34210526315789,44.51754385964912,0.0,3.5031847133757963,2.229299363057325,37.79193205944799,0.0,56.475583864118896
415,SOUTH_DAKOTA,2006,15176.0,0.39603960396039606,4.554455445544554,4.356435643564356,48.71287128712871,45.54455445544555,0.0,3.4140969162995596,2.753303964757709,42.290748898678416,0.0,51.541850220264315
416,SOUTH_DAKOTA,2007,18537.0,0.5454545454545455,6.363636363636363,4.0,51.45454545454545,42.18181818181818,0.0,4.3478260869565215,3.336703741152679,35.99595551061678,0.0,56.31951466127402
417,SOUTH_DAKOTA,2008,16276.0,0.36231884057971014,3.985507246376811,3.260869565217391,43.11594202898551,48.007246376811594,0.0,4.92831541218638,3.405017921146954,33.42293906810036,0.5376344086021506,57.70609318996416
418,SOUTH_DAKOTA,2009,17445.0,0.15723270440251574,4.40251572327044,4.245283018867925,49.528301886792455,44.0251572327044,0.0,4.058441558441558,3.571428571428571,35.79545454545455,0.487012987012987,56.08766233766234
419,SOUTH_DAKOTA,2010,17706.0,1.4084507042253522,6.690140845070422,6.338028169014084,30.1056338028169,50.352112676056336,0.39331366764995085,9.242871189773846,2.55653883972468,28.711897738446414,1.671583087512291,57.42379547689283
420,SOUTH_DAKOTA,2011,16399.0,0.5964214711729622,9.343936381709742,6.163021868787276,27.037773359840955,54.87077534791253,0.5020080321285141,11.144578313253012,3.1124497991967868,24.397590361445783,1.9076305220883536,58.93574297188755
421,SOUTH_DAKOTA,2012,34361.0,0.8057296329453895,7.162041181736795,4.6553267681289165,40.376007162041184,48.88093106535363,0.0,7.827698008337193,3.6127836961556277,31.17183881426586,0.6947660954145438,56.69291338582677
422,SOUTH_DAKOTA,2013,30928.0,0.5231037489102005,7.759372275501308,5.6669572798605055,35.91979075850043,38.09938971229293,0.0,7.827698008337193,3.6127836961556277,31.17183881426586,0.6947660954145438,56.69291338582677
423,SOUTH_DAKOTA,2014,38254.0,0.4488330341113106,8.258527827648116,7.091561938958707,42.45960502692998,39.587073608617594,0.0,7.827698008337193,3.6127836961556277,31.17183881426586,0.6947660954145438,56.69291338582677
424,TENNESSEE,2001,121918.0,0.1350621285791464,42.125877903835764,3.146947595894111,0.2296056185845489,58.2117774176121,0.0,46.09815820291707,1.4159480464175451,0.15969338869370808,0.2235707441711913,52.10262961780049
425,TENNESSEE,2002,122028.0,0.13241525423728812,42.121292372881356,3.45603813559322,0.1059322033898305,56.0646186440678,0.0,46.91073219658977,1.5446339017051154,0.160481444332999,0.160481444332999,51.223671013039116
426,TENNESSEE,2003,116133.0,0.14417531718569782,34.94809688581315,2.7825836216839677,0.07208765859284891,46.16493656286044,0.0,49.75247524752475,1.7649591046061126,0.11838140335772708,0.16142918639690057,48.202755058114505
427,TENNESSEE,2004,134058.0,0.11780104712041885,46.15183246073298,2.2513089005235605,0.03926701570680628,51.047120418848166,0.0,50.17569243489045,1.798263745349318,0.10334849111202976,0.15502273666804464,47.76767259198016
428,TENNESSEE,2005,117472.0,0.07580543272267846,42.703727100442194,3.1206569804169297,0.05053695514845231,56.58875552747947,0.0,48.55502578573513,1.9169018195971586,0.058382796535954073,0.17514838960786222,49.29454120852389
429,TENNESSEE,2006,168869.0,0.08659883091578263,40.939597315436245,5.401602078371942,0.05412426932236415,57.0145053041784,0.0,43.91143911439114,2.076718441603021,0.0943962928001373,0.17162962327297693,53.745816527932725
