,STATE,YEAR,PRISONER_COUNT,STATE_POPULATION,VIOLENT_CRIME_TOTAL,PROPERTY_CRIME_TOTAL
100,WISCONSIN,2002,21666,5439692.0,12238.0,164749.0
101,WYOMING,2002,1641,498830.0,1364.0,16494.0
103,ALABAMA,2003,27614,4503726.0,19331.0,182241.0
104,ALASKA,2003,4472,648280.0,3877.0,24386.0
105,ARIZONA,2003,31084,5579222.0,28638.0,314335.0
106,ARKANSAS,2003,12068,2727774.0,12449.0,99084.0
107,CALIFORNIA,2003,161785,35462712.0,205551.0,1215086.0
108,COLORADO,2003,19450,4547633.0,15757.0,179706.0
109,CONNECTICUT,2003,18023,3486960.0,11045.0,92981.0
110,DELAWARE,2003,6630,818166.0,5525.0,27943.0
111,FLORIDA,2003,79594,16999181.0,124280.0,757696.0
112,GEORGIA,2003,47208,8676460.0,39435.0,369589.0
113,HAWAII,2003,5499,1248755.0,3400.0,65867.0
114,IDAHO,2003,5558,1367034.0,3362.0,40042.0
115,ILLINOIS,2003,43418,12649087.0,70376.0,415885.0
116,INDIANA,2003,21345,6199571.0,21842.0,208039.0
117,IOWA,2003,8546,2941976.0,8175.0,87554.0
118,KANSAS,2003,9168,2724786.0,10831.0,109276.0
119,KENTUCKY,2003,11660,4118189.0,10232.0,103370.0
120,LOUISIANA,2003,19498,4493665.0,28622.0,193698.0
121,MAINE,2003,1974,1309205.0,1422.0,32078.0
122,MARYLAND,2003,23768,5512310.0,38778.0,209418.0
123,MASSACHUSETTS,2003,9828,6420357.0,30377.0,164543.0
124,MICHIGAN,2003,49358,10082364.0,51550.0,330565.0
125,MINNESOTA,2003,7569,5064172.0,13316.0,157663.0
126,MISSISSIPPI,2003,15863,2882594.0,9336.0,106867.0
127,MISSOURI,2003,29864,5719204.0,28067.0,233564.0
128,MONTANA,2003,3053,918157.0,3351.0,28428.0
129,NEBRASKA,2003,4073,1737475.0,5105.0,65189.0
130,NEVADA,2003,10584,2242207.0,13813.0,96128.0
131,NEW HAMPSHIRE,2003,2427,1288705.0,1937.0,26456.0
132,NEW JERSEY,2003,25718,8642412.0,31488.0,220350.0
133,NEW MEXICO,2003,6223,1878562.0,12535.0,76816.0
134,NEW YORK,2003,65388,19212425.0,89486.0,432079.0
135,NORTH CAROLINA,2003,33874,8421190.0,38243.0,359660.0
136,NORTH DAKOTA,2003,1100,633400.0,508.0,13364.0
137,OHIO,2003,44350,11437680.0,38185.0,417483.0
138,OKLAHOMA,2003,22688,3506469.0,17758.0,151208.0
139,OREGON,2003,12207,3564330.0,10506.0,169863.0
140,PENNSYLVANIA,2003,40879,12370761.0,49210.0,300639.0
141,RHODE ISLAND,2003,3576,1076084.0,3074.0,32231.0
142,SOUTH CAROLINA,2003,22942,4148744.0,33455.0,187592.0
